timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1762212726958,1313,2.3 - GET - /api/v1/books/best-rated?limit=10,200,OK,Thread Group 1-5,text,true,,4576,174,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/books/best-rated?limit=10,,1313,UTF-8,1,0,workstation-1,0,0
1762212726117,2210,2.2 - GET - /api/v1/stats/categories,200,OK,Thread Group 1-8,text,true,,4244,165,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/stats/categories,,2210,UTF-8,1,0,workstation-1,0,0
1762212727730,635,1.4 - GET - /api/v1/health/,200,OK,Thread Group 1-2,text,true,,380,156,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/health/,,635,UTF-8,1,0,workstation-1,0,0
1762212726624,2168,2.2 - GET - /api/v1/stats/categories,200,OK,Thread Group 1-6,text,true,,4244,165,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/stats/categories,,2168,UTF-8,1,0,workstation-1,0,0
1762212728327,598,2.3 - GET - /api/v1/books/best-rated?limit=10,200,OK,Thread Group 1-8,text,true,,4576,174,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/books/best-rated?limit=10,,598,UTF-8,1,0,workstation-1,0,0
1762212727255,2056,1.5 - GET - /api/v1/books,200,OK,Thread Group 1-4,text,true,,416075,154,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/books,,2039,UTF-8,1,0,workstation-1,0,0
1762212728271,1202,2.4 - GET - /api/v1/books/price-range?min_price=0&max_price=20,200,OK,Thread Group 1-5,text,true,,81292,191,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/books/price-range?min_price=0&max_price=20,,1200,UTF-8,1,0,workstation-1,0,0
1762212726998,2483,2.2 - GET - /api/v1/stats/categories,200,OK,Thread Group 1-10,text,true,,4244,165,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/stats/categories,,2483,UTF-8,1,0,workstation-1,0,0
1762212728233,1338,2.4 - GET - /api/v1/books/price-range?min_price=0&max_price=20,200,OK,Thread Group 1-9,text,true,,81307,191,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/books/price-range?min_price=0&max_price=20,,1335,UTF-8,1,0,workstation-1,0,0
1762212727678,2247,2.3 - GET - /api/v1/books/best-rated?limit=10,200,OK,Thread Group 1-3,text,true,,4576,174,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/books/best-rated?limit=10,,2247,UTF-8,1,0,workstation-1,0,0
1762212727734,2298,2.1 - GET - /api/v1/stats/overview,200,OK,Thread Group 1-1,text,true,,630,163,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/stats/overview,,2297,UTF-8,1,0,workstation-1,0,0
1762212728792,1257,2.3 - GET - /api/v1/books/best-rated?limit=10,200,OK,Thread Group 1-6,text,true,,4576,174,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/books/best-rated?limit=10,,1257,UTF-8,1,0,workstation-1,0,0
1762212728926,1520,2.4 - GET - /api/v1/books/price-range?min_price=0&max_price=20,200,OK,Thread Group 1-8,text,true,,81299,191,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/books/price-range?min_price=0&max_price=20,,1519,UTF-8,1,0,workstation-1,0,0
1762212727962,2545,2.4 - GET - /api/v1/books/price-range?min_price=0&max_price=20,200,OK,Thread Group 1-7,text,true,,81299,191,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/books/price-range?min_price=0&max_price=20,,2541,UTF-8,1,0,workstation-1,0,0
1762212729925,686,2.4 - GET - /api/v1/books/price-range?min_price=0&max_price=20,200,OK,Thread Group 1-3,text,true,,81299,191,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/books/price-range?min_price=0&max_price=20,,678,UTF-8,1,0,workstation-1,0,0
1762212730032,617,2.2 - GET - /api/v1/stats/categories,200,OK,Thread Group 1-1,text,true,,4244,165,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/stats/categories,,617,UTF-8,1,0,workstation-1,0,0
1762212730446,796,1.1 - GET - /api/v1/books/categories,200,OK,Thread Group 1-8,text,true,,992,165,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/books/categories,,796,UTF-8,1,0,workstation-1,0,0
1762212729311,2248,2.1 - GET - /api/v1/stats/overview,200,OK,Thread Group 1-4,text,true,,630,163,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/stats/overview,,2248,UTF-8,1,0,workstation-1,0,0
1762212729571,2002,1.1 - GET - /api/v1/books/categories,200,OK,Thread Group 1-9,text,true,,992,165,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/books/categories,,2002,UTF-8,1,0,workstation-1,0,0
1762212729473,2103,1.1 - GET - /api/v1/books/categories,200,OK,Thread Group 1-5,text,true,,992,165,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/books/categories,,2103,UTF-8,1,0,workstation-1,0,0
1762212729481,2095,2.3 - GET - /api/v1/books/best-rated?limit=10,200,OK,Thread Group 1-10,text,true,,4576,174,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/books/best-rated?limit=10,,2095,UTF-8,1,0,workstation-1,0,0
